what is the capital of india?,delhi,bangalore,chennai,mumbai,A
what is the capital of india?,delhi,bangalore,chennai,mumbai,A
what is the capital of india?,delhi,bangalore,chennai,mumbai,A
what is the capital of india?,delhi,bangalore,chennai,mumbai,A
what is the capital of india?,delhi,bangalore,chennai,mumbai,A
what is the capital of karnataka?,delhi,bangalore,chennai,mumbai,B
what is the capital of karnataka?,delhi,bangalore,chennai,mumbai,B
what is the capital of karnataka?,delhi,bangalore,chennai,mumbai,B
what is the capital of karnataka?,delhi,bangalore,chennai,mumbai,B
what is the capital of karnataka?,delhi,bangalore,chennai,mumbai,B
what is the capital of karnataka?,delhi,bangalore,chennai,mumbai,B
what is the capital of karnataka?,delhi,bangalore,chennai,mumbai,B
what is the capital of karnataka?,delhi,bangalore,chennai,mumbai,B
what is the capital of karnataka?,delhi,bangalore,chennai,mumbai,B
